Latitude,Longitude,stat_area,party
31.763046,35.177721,1124,אמת
31.754964,35.170872,1143,מחל
31.752765,35.172151,1143,מחל
31.757517,35.176046,1132,מחל
31.768319,35.21371,1312,מחל
31.756411,35.183839,1042,אמת
31.749622,35.181808,1147,מחל
31.738186,35.19507,1632,מחל
31.75443,35.193404,1212,מחל
31.754507,35.195339,1212,מחל
31.754507,35.195339,1212,מחל
31.75354,35.197873,1211,מחל
31.75443,35.193404,1212,מחל
31.754507,35.195339,1212,מחל
31.75354,35.197873,1211,מחל
31.751544,35.199518,1213,מחל
31.754478,35.206796,1215,מחל
31.754478,35.206796,1215,מחל
31.755148,35.202658,1214,מחל
31.755092,35.204774,1214,מחל
31.755148,35.202658,1214,מחל
31.754478,35.206796,1215,מחל
31.758309,35.207474,1215,מחל
31.762254,35.21274,1216,מחל
31.756411,35.183839,1042,מחל
31.760592,35.212274,1216,מחל
31.758309,35.207474,1215,מחל
31.757763,35.202188,1217,מחל
31.758309,35.207474,1215,מחל
31.755148,35.202658,1214,מחל
31.758309,35.207474,1215,מחל
31.755148,35.202658,1214,מחל
31.751544,35.199518,1213,מחל
31.755092,35.204774,1214,מחל
31.762254,35.21274,1216,מחל
31.758309,35.207474,1215,מחל
31.738186,35.19507,1632,מחל
31.754964,35.170872,1143,מחל
31.757763,35.202188,1217,מחל
31.763057,35.20503,1222,אמת
31.757763,35.202188,1217,אמת
31.763057,35.20503,1222,טב
31.749622,35.181808,1147,מחל
31.765496,35.189055,1031,קץ
31.765496,35.189055,1031,מחל
31.760715,35.197993,1221,מחל
31.760715,35.197993,1221,טב
31.763057,35.20503,1222,אמת
31.760715,35.197993,1221,טב
31.757763,35.202188,1217,אמת
31.763057,35.20503,1222,מחל
31.770876,35.20999,863,מחל
31.76422,35.207125,1311,מחל
31.767031,35.214505,1312,מחל
31.76422,35.207125,1311,מחל
31.760715,35.197993,1221,טב
31.763057,35.20503,1222,אמת
31.760715,35.197993,1221,מחל
31.76422,35.207125,1311,מחל
31.786663,35.214109,836,ג
31.777009,35.186142,1012,אמת
31.765496,35.189055,1031,מחל
31.768319,35.21371,1312,מחל
31.766379,35.182718,1035,ג
31.763869,35.185162,1034,ג
31.765496,35.189055,1031,ג
31.77704,35.190838,1013,אמת
31.750036,35.232961,1352,מחל
31.820235,35.23695,136,מחל
31.790609,35.191615,923,ג
31.756195,35.165522,1142,מחל
31.75354,35.197873,1211,מחל
31.749213,35.204071,1612,ודעם
31.765218,35.21151,1312,מחל
31.76422,35.207125,1311,מחל
31.765218,35.21151,1312,מחל
31.765218,35.21151,1312,מחל
31.765218,35.21151,1312,מחל
31.766343,35.215624,1314,אמת
31.765218,35.21151,1312,מחל
31.767031,35.214505,1312,אמת
31.764873,35.220969,1314,אמת
31.763311,35.220997,1313,אמת
31.764873,35.220969,1314,מחל
31.763829,35.213897,1312,מחל
31.763311,35.220997,1313,מחל
31.763829,35.213897,1312,מחל
31.766343,35.215624,1314,מחל
31.781324,35.172492,934,ג
31.777009,35.186142,1012,אמת
31.839121,35.24546,113,ג
31.792334,35.209964,914,ג
31.747945,35.238176,1355,מחל
31.763829,35.213897,1312,מחל
31.793445,35.201883,915,ג
31.757719,35.217286,1335,אמת
31.749213,35.204071,1612,ודעם
31.749213,35.204071,1612,ודעם
31.755844,35.214574,1346,מחל
31.761047,35.222583,1333,אמת
31.760035,35.220355,1333,אמת
31.759513,35.223504,1334,מחל
31.760035,35.220355,1333,מחל
31.757719,35.217286,1335,מחל
31.755844,35.214574,1346,מחל
31.749213,35.204071,1612,ודעם
31.755908,35.219152,1335,מחל
31.750161,35.221764,1342,מחל
31.754071,35.22444,1336,מחל
31.748581,35.216629,1344,מחל
31.755908,35.219152,1335,מחל
31.757719,35.217286,1335,אמת
31.755908,35.219152,1335,מחל
31.764225,35.22618,1332,אמת
31.764225,35.22618,1332,מחל
31.755908,35.219152,1335,מחל
31.749646,35.217267,1344,מחל
31.748581,35.216629,1344,מחל
31.748581,35.216629,1344,מחל
31.749646,35.217267,1344,מחל
31.748581,35.216629,1344,מחל
31.754071,35.22444,1336,אמת
31.764225,35.22618,1332,מחל
31.749646,35.217267,1344,מחל
31.754071,35.22444,1336,מחל
31.748581,35.216629,1344,מחל
31.754071,35.22444,1336,מחל
31.748136,35.22417,1342,ל
31.749213,35.204071,1612,ודעם
31.749646,35.217267,1344,אמת
31.748581,35.216629,1344,מחל
31.749213,35.204071,1612,ודעם
31.803055,35.216529,521,ג
31.803055,35.216529,521,ג
31.774366,35.233272,721,ג
31.768319,35.21371,1312,קץ
31.768319,35.21371,1312,ודעם
31.768319,35.21371,1312,אמת
31.774366,35.233272,721,ג
31.774366,35.233272,721,ג
31.801326,35.235429,542,טב
31.80111,35.239659,541,אמת
31.794043,35.233471,622,ודעם
31.794043,35.233471,622,ודעם
31.768319,35.21371,1312,ודעם
31.768319,35.21371,1312,ג
31.768319,35.21371,1312,מחל
31.768319,35.21371,1312,ג
31.768319,35.21371,1312,ג
31.803055,35.216529,521,ג
31.797043,35.225367,531,ג
31.768319,35.21371,1312,ג
31.797043,35.225367,531,ג
31.797043,35.225367,531,ג
31.803055,35.216529,521,ג
31.80111,35.239659,541,אמת
31.803522,35.23727,541,מחל
31.803409,35.23745,541,מחל
31.768319,35.21371,1312,ג
31.803055,35.216529,521,ג
31.801326,35.235429,542,אמת
31.801326,35.235429,542,מחל
31.729794,35.191082,1633,מחל
31.768319,35.21371,1312,ג
31.797043,35.225367,531,שס
31.844281,35.242217,115,מחל
31.838111,35.239418,116,ג
31.837985,35.239016,116,מחל
31.838274,35.236396,116,שס
31.844281,35.242217,115,ג
31.82313,35.192163,426,ג
31.819983,35.202297,423,ג
31.814752,35.202585,421,ג
31.747945,35.238176,1355,מחל
31.820422,35.193601,425,ג
31.768319,35.21371,1312,ג
31.750548,35.23795,1355,מחל
31.750548,35.23795,1355,מחל
31.750131,35.234193,1352,מחל
31.750036,35.232961,1352,מחל
31.734589,35.198897,1631,מחל
31.734894,35.199472,1632,מחל
31.734589,35.198897,1631,מחל
31.735015,35.198457,1631,מחל
31.735015,35.198457,1631,מחל
31.729794,35.191082,1633,ג
31.734894,35.199472,1632,מחל
31.794043,35.233471,622,ודעם
31.794043,35.233471,622,ודעם
31.794043,35.233471,622,ודעם
31.794043,35.233471,622,ודעם
31.750158,35.228653,1351,מחל
31.794043,35.233471,622,ודעם
31.801326,35.235429,542,מחל
31.794043,35.233471,622,ודעם
31.768319,35.21371,1312,קץ
31.749213,35.204071,1612,ודעם
31.747945,35.238176,1355,מחל
31.747945,35.238176,1355,מחל
31.747945,35.238176,1355,מחל
31.747945,35.238176,1355,מחל
31.750036,35.232961,1352,מחל
31.750158,35.228653,1351,מחל
31.750131,35.234193,1352,מחל
31.750158,35.228653,1351,מחל
31.747945,35.238176,1355,מחל
31.750158,35.228653,1351,מחל
31.794043,35.233471,622,ודעם
31.750036,35.232961,1352,מחל
31.839121,35.24546,113,ג
31.838111,35.239418,116,ג
31.794043,35.233471,622,ודעם
31.819983,35.202297,423,ג
31.819983,35.202297,423,ג
31.81209,35.196346,433,ג
31.81209,35.196346,433,שס
31.768319,35.21371,1312,קץ
31.818958,35.190859,432,מחל
31.813733,35.195118,433,שס
31.81209,35.196346,433,ג
31.729794,35.191082,1633,מחל
31.729794,35.191082,1633,מחל
31.729794,35.191082,1633,מחל
31.728447,35.187251,1641,מחל
31.733478,35.188918,1634,מחל
31.750454,34.883861,NULL,מחל
31.734894,35.199472,1632,מחל
31.735015,35.198457,1631,מחל
31.728447,35.187251,1641,מחל
31.732611,35.184924,1643,מחל
31.733478,35.188918,1634,מחל
31.731659,35.183855,1642,מחל
31.731659,35.183855,1642,מחל
31.733478,35.188918,1634,מחל
31.750454,34.883861,NULL,מחל
31.733478,35.188918,1634,מחל
31.750454,34.883861,NULL,מחל
31.749646,35.217267,1344,מחל
31.728447,35.187251,1641,מחל
31.733478,35.188918,1634,מחל
31.732611,35.184924,1643,מחל
31.839121,35.24546,113,ג
31.842923,35.244859,113,ג
31.838274,35.236396,116,מחל
31.839121,35.24546,113,ג
31.844281,35.242217,115,ג
31.838111,35.239418,116,שס
31.842923,35.244859,113,ג
31.839121,35.24546,113,ג
31.842923,35.244859,113,ג
31.819983,35.202297,423,ג
31.81042,35.200112,433,מחל
31.819983,35.202297,423,ג
31.81209,35.196346,433,שס
31.813733,35.195118,433,אמת
31.814752,35.202585,421,ג
31.818958,35.190859,432,ג
31.842923,35.244859,113,ג
31.844281,35.242217,115,ג
31.837985,35.239016,116,ג
31.80111,35.239659,541,אמת
31.801326,35.235429,542,אמת
31.81042,35.200112,433,מחל
31.768319,35.21371,1312,מחל
31.817206,35.19289,432,ג
31.827691,35.241803,124,מחל
31.827691,35.241803,124,מחל
31.827691,35.241803,124,מחל
31.829333,35.245552,125,מחל
31.829333,35.245552,125,מחל
31.829333,35.245552,125,מחל
31.829784,35.239908,123,מחל
31.829139,35.245373,125,מחל
31.829784,35.239908,123,מחל
31.834812,35.235647,122,מחל
31.820235,35.23695,136,מחל
31.834812,35.235647,122,מחל
31.820235,35.23695,136,מחל
31.822243,35.23826,135,מחל
31.819165,35.244854,132,מחל
31.820547,35.252187,132,מחל
31.819165,35.244854,132,מחל
31.822243,35.23826,135,מחל
31.819393,35.24676,134,מחל
31.820547,35.252187,132,מחל
31.819165,35.244854,132,מחל
31.794043,35.233471,622,ודעם
31.819393,35.24676,134,מחל
31.820547,35.252187,132,מחל
31.833712,35.233721,121,מחל
31.833712,35.233721,121,מחל
31.815894,35.251724,133,מחל
31.819393,35.24676,134,מחל
31.815894,35.251724,133,מחל
31.819393,35.24676,134,מחל
31.815894,35.251724,133,מחל
31.820547,35.252187,132,מחל
31.820547,35.252187,132,מחל
31.820547,35.252187,132,מחל
31.822243,35.23826,135,מחל
31.820235,35.23695,136,מחל
31.827691,35.241803,124,מחל
31.834812,35.235647,122,מחל
31.829139,35.245373,125,מחל
31.838111,35.239418,116,מחל
31.844281,35.242217,115,ג
31.839121,35.24546,113,ג
31.834812,35.235647,122,מחל
31.822243,35.23826,135,מחל
31.833712,35.233721,121,מחל
31.833712,35.233721,121,מחל
31.81042,35.200112,433,אמת
31.722523,35.224926,1623,מחל
31.818958,35.190859,432,ג
31.829784,35.239908,123,מחל
31.768319,35.21371,1312,ג
31.820422,35.193601,425,ג
31.814752,35.202585,421,ג
31.814752,35.202585,421,מחל
31.820422,35.193601,425,ג
31.820422,35.193601,425,ג
31.819983,35.202297,423,טב
31.768319,35.21371,1312,ג
31.818958,35.190859,432,ג
31.811481,35.203018,421,ג
31.813733,35.195118,433,שס
31.813733,35.195118,433,שס
31.81042,35.200112,433,מחל
31.811481,35.203018,421,ג
31.811481,35.203018,421,ג
31.82313,35.192163,426,ג
31.819839,35.188235,432,ג
31.819839,35.188235,432,שס
31.818958,35.190859,432,מחל
31.81209,35.196346,433,טב
31.815894,35.251724,133,מחל
31.82313,35.192163,426,ג
31.839121,35.24546,113,ג
31.723727,35.219573,1622,מחל
31.724217,35.217102,1622,מחל
31.768319,35.21371,1312,מחל
31.754071,35.22444,1336,מחל
31.820547,35.252187,132,מחל
31.811074,35.217763,412,שס
31.811074,35.217763,412,ג
31.811027,35.218635,412,ג
31.810481,35.22122,411,ג
31.693611,35.107802,NULL,ג
31.811074,35.217763,412,ג
31.810481,35.22122,411,שס
31.693611,35.107802,NULL,ג
31.693611,35.107802,NULL,ג
31.809844,35.218551,411,ג
31.809844,35.218551,411,ג
31.811027,35.218635,412,ג
31.811027,35.218635,412,ג
31.780313,35.217301,846,מחל
31.779765,35.186367,1011,מחל
31.757517,35.176046,1132,מחל
31.763046,35.177721,1124,אמת
31.756411,35.183839,1042,אמת
31.755092,35.204774,1214,מחל
31.755844,35.214574,1346,מחל
31.729794,35.191082,1633,מחל
31.729794,35.191082,1633,מחל
31.774366,35.233272,721,טב
31.734589,35.198897,1631,מחל
31.734894,35.199472,1632,מחל
31.734589,35.198897,1631,מחל
31.733478,35.188918,1634,מחל
31.750454,34.883861,NULL,מחל
31.750454,34.883861,NULL,מחל
31.789271,35.191792,923,ג
31.72338,35.219417,1622,מחל
31.72338,35.219417,1622,מחל
31.72338,35.219417,1622,מחל
31.726311,35.223606,1622,מחל
31.723727,35.219573,1622,מחל
31.726311,35.223606,1622,מחל
31.726311,35.223606,1622,מחל
31.72338,35.219417,1622,מחל
31.72338,35.219417,1622,מחל
31.724217,35.217102,1622,מחל
31.722523,35.224926,1623,מחל
31.797043,35.225367,531,ג
31.754478,35.206796,1215,מחל
31.750158,35.228653,1351,מחל
31.722523,35.224926,1623,מחל
31.754071,35.22444,1336,מחל
31.770876,35.20999,863,מחל
31.764225,35.22618,1332,אמת
31.726311,35.223606,1622,מחל
31.754071,35.22444,1336,מחל
31.750454,34.883861,NULL,מחל
31.754071,35.22444,1336,מחל
31.779047,35.217942,846,מחל
31.768319,35.21371,1312,אמת
31.829784,35.239908,123,מחל
31.822243,35.23826,135,מחל
31.750161,35.221764,1342,מחל
31.77704,35.190838,1013,אמת
31.765496,35.189055,1031,מחל
31.809844,35.218551,411,ג
31.794043,35.233471,622,ודעם
31.794043,35.233471,622,ודעם
31.794043,35.233471,622,ודעם
31.794043,35.233471,622,ודעם
