 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,Address,Latitude,Longitude,מס מפלגה הכי נבחרת,מפלגה הכי נבחרת
ירושלים,3000,359,647,400,1,399,50,21,1,0,0,0,17,0,0,0,0,37,19,159,27,0,1,1,0,18,1,0,3,11,0,33,"וולטה העלית,12 ",31.768319,35.21371,14,מחל
ירושלים,3000,360,483,357,4,353,68,67,0,0,0,0,23,0,0,0,0,14,3,63,17,0,0,0,0,31,0,0,3,33,0,31,"שד שרת משה,1 ",31.756411,35.183839,1,אמת
ירושלים,3000,361,708,547,3,544,130,2,0,0,0,0,30,0,0,0,0,37,13,205,27,0,0,0,0,72,0,0,6,7,0,15,"האייל,72 ",31.749622,35.181808,14,מחל
ירושלים,3000,362,707,492,6,486,15,1,25,0,0,0,33,0,0,0,0,35,19,238,6,0,0,0,0,28,0,0,7,25,0,54,"שד דב יוסף,2 ",31.738186,35.19507,14,מחל
ירושלים,3000,363,714,443,6,437,19,9,0,0,0,0,20,0,0,0,1,22,23,218,7,0,0,0,0,9,0,1,4,37,0,67,"רבי צדוק,12 ",31.75443,35.193404,14,מחל
ירושלים,3000,364,544,336,4,332,35,5,1,0,0,0,23,0,0,0,0,46,8,134,18,0,0,0,0,7,0,0,4,15,1,35,"מרגולין,3 ",31.754507,35.195339,14,מחל
ירושלים,3000,365,712,440,5,435,45,3,2,0,0,0,49,0,0,0,0,39,13,196,18,0,0,0,0,9,0,0,2,16,0,43,"מרגולין,3 ",31.754507,35.195339,14,מחל
ירושלים,3000,366,526,315,3,312,16,6,0,0,0,0,17,0,0,0,0,38,9,165,6,0,0,0,0,5,0,0,4,18,2,26,"בר יוחאי,53 ",31.75354,35.197873,14,מחל
ירושלים,3000,367,762,471,6,465,29,8,1,0,0,0,52,0,0,0,0,38,11,202,9,0,0,0,0,15,0,1,6,40,0,53,"רבי צדוק,12 ",31.75443,35.193404,14,מחל
ירושלים,3000,368,637,409,8,401,25,1,0,0,1,0,20,0,0,0,0,18,9,204,6,0,0,0,0,9,0,0,3,20,0,85,"מרגולין,3 ",31.754507,35.195339,14,מחל
ירושלים,3000,369,452,276,3,273,8,6,0,0,0,0,21,1,0,0,0,16,22,116,1,0,0,0,0,9,0,0,2,14,0,57,"בר יוחאי,53 ",31.75354,35.197873,14,מחל
ירושלים,3000,370,609,383,3,380,22,4,7,0,0,0,33,0,0,0,0,36,10,167,13,0,0,0,0,12,0,0,4,28,0,44,"בעהם אריה,7 ",31.751544,35.199518,14,מחל
ירושלים,3000,371.1,410,318,0,318,30,0,1,0,0,0,72,0,0,0,0,18,6,133,8,0,0,0,0,20,0,0,4,12,0,14,"יוסי בן יועזר,24 ",31.754478,35.206796,14,מחל
ירושלים,3000,371.2,317,245,1,244,22,3,0,0,0,0,61,0,0,0,0,16,5,93,4,1,0,0,0,16,1,0,4,14,0,4,"יוסי בן יועזר,24 ",31.754478,35.206796,14,מחל
ירושלים,3000,372,629,441,3,438,34,1,1,1,0,0,58,0,0,0,0,35,11,189,16,0,0,0,0,17,0,0,8,39,0,28,"יהודה הנשיא,26 ",31.755148,35.202658,14,מחל
ירושלים,3000,373,483,328,5,323,28,3,0,0,0,0,19,0,0,0,0,32,3,157,12,0,0,0,0,12,0,0,5,23,0,29,"אליעזר הגדול,4 ",31.755092,35.204774,14,מחל
ירושלים,3000,374,523,381,4,377,28,4,2,0,1,0,34,0,0,0,0,57,5,157,8,0,0,1,0,17,0,0,3,37,0,23,"יהודה הנשיא,26 ",31.755148,35.202658,14,מחל
ירושלים,3000,375,748,569,4,565,45,3,13,0,0,0,48,0,0,0,0,63,10,245,21,2,0,0,0,24,0,0,3,27,0,61,"יוסי בן יועזר,24 ",31.754478,35.206796,14,מחל
ירושלים,3000,376,592,394,2,392,26,2,0,0,0,0,38,0,0,0,1,43,5,183,7,0,0,0,1,23,0,0,3,27,0,33,"יוחנן בן זכאי,33 ",31.758309,35.207474,14,מחל
ירושלים,3000,377,733,490,2,488,70,12,3,0,0,0,91,0,0,0,0,30,6,173,33,0,0,0,0,9,0,0,1,34,1,25,"רבי חייא,3 ",31.762254,35.21274,14,מחל
ירושלים,3000,378,552,411,1,410,114,0,1,0,0,0,18,0,0,0,0,29,2,132,32,1,0,0,0,57,0,0,4,9,0,11,"שד שרת משה,1 ",31.756411,35.183839,14,מחל
ירושלים,3000,379,677,493,5,488,71,12,1,0,0,0,72,0,1,0,0,38,1,204,17,4,0,0,0,29,0,0,5,15,0,18,"בן גמלא יהושע,7 ",31.760592,35.212274,14,מחל
ירושלים,3000,380,748,515,2,513,77,16,4,0,0,0,95,0,0,0,0,29,0,190,38,1,0,0,0,20,0,1,3,26,1,12,"יוחנן בן זכאי,33 ",31.758309,35.207474,14,מחל
ירושלים,3000,381,464,342,4,338,42,2,2,0,6,0,28,0,0,0,0,25,1,143,31,1,0,0,0,14,0,0,4,24,0,15,"הורקניה,21 ",31.757763,35.202188,14,מחל
ירושלים,3000,382,544,379,2,377,29,13,0,0,0,0,27,0,0,0,0,38,4,164,18,0,0,0,0,9,0,1,1,27,0,46,"יוחנן בן זכאי,33 ",31.758309,35.207474,14,מחל
ירושלים,3000,383,676,442,5,437,63,7,2,0,0,0,91,0,0,0,0,43,7,116,38,1,0,0,0,21,0,0,7,25,0,16,"יהודה הנשיא,26 ",31.755148,35.202658,14,מחל
ירושלים,3000,384,471,325,3,322,20,1,2,0,0,0,36,0,0,0,0,28,4,134,29,4,0,0,0,14,0,0,3,16,0,31,"יוחנן בן זכאי,33 ",31.758309,35.207474,14,מחל
ירושלים,3000,385,636,455,1,454,55,2,0,0,0,0,86,0,0,0,0,40,3,174,9,1,0,1,0,35,0,1,7,17,0,23,"יהודה הנשיא,26 ",31.755148,35.202658,14,מחל
ירושלים,3000,386,589,448,1,447,36,2,10,0,0,0,17,0,0,0,0,48,21,215,8,0,0,0,0,23,0,1,2,10,1,53,"בעהם אריה,7 ",31.751544,35.199518,14,מחל
ירושלים,3000,387,580,410,3,407,44,4,0,0,0,0,43,0,0,0,0,37,9,199,17,1,0,0,0,16,0,0,3,18,1,15,"אליעזר הגדול,4 ",31.755092,35.204774,14,מחל
ירושלים,3000,388,634,377,4,373,55,17,4,0,0,0,74,0,0,0,0,41,3,102,21,2,0,0,1,18,0,1,4,21,1,8,"רבי חייא,3 ",31.762254,35.21274,14,מחל
ירושלים,3000,389,601,392,2,390,60,3,1,0,0,0,93,0,0,0,0,30,3,124,21,0,0,0,0,25,0,1,4,14,0,11,"יוחנן בן זכאי,33 ",31.758309,35.207474,14,מחל
ירושלים,3000,390,694,484,7,477,26,0,7,0,0,0,20,0,0,0,0,34,80,229,13,1,0,0,0,19,0,1,2,8,0,37,"שד דב יוסף,2 ",31.738186,35.19507,14,מחל
ירושלים,3000,391,537,333,3,330,8,11,1,0,0,0,23,0,0,0,0,16,27,158,3,0,0,0,0,19,0,0,1,48,1,14,"קוסטה ריקה,17 ",31.754964,35.170872,14,מחל
ירושלים,3000,392,444,323,1,322,17,3,4,0,0,0,28,0,0,0,0,23,3,170,5,0,0,0,0,10,0,0,5,14,1,39,"הורקניה,21 ",31.757763,35.202188,14,מחל
ירושלים,3000,393,616,425,3,422,117,3,6,0,0,0,95,0,0,0,0,32,5,84,34,2,0,0,0,27,0,0,4,11,0,2,"אהרוני,14 ",31.763057,35.20503,1,אמת
